Account Number: 10001, Balance: 2786$, UserID: 1
Account Number: 10002, Balance: 3288$, UserID: 2
Account Number: 10003, Balance: 8438$, UserID: 3
Account Number: 10004, Balance: 6099$, UserID: 4
Account Number: 10005, Balance: 1465$, UserID: 5
Account Number: 10006, Balance: 1385$, UserID: 6
Account Number: 10007, Balance: 5652$, UserID: 7
Account Number: 10008, Balance: 5678$, UserID: 8
Account Number: 10009, Balance: 5930$, UserID: 9
Account Number: 10010, Balance: 161$, UserID: 10
Account Number: 10011, Balance: 4946$, UserID: 11
Account Number: 10012, Balance: 2088$, UserID: 12
Account Number: 10013, Balance: 1003$, UserID: 13
Account Number: 10014, Balance: 9118$, UserID: 14
Account Number: 10015, Balance: 7447$, UserID: 15
Account Number: 10016, Balance: 1164$, UserID: 16
Account Number: 10017, Balance: 3164$, UserID: 17
Account Number: 10018, Balance: 2429$, UserID: 18
Account Number: 10019, Balance: 4230$, UserID: 19
Account Number: 10020, Balance: 2993$, UserID: 20
Account Number: 10021, Balance: 6876$, UserID: 21
Account Number: 10022, Balance: 4592$, UserID: 22
Account Number: 10023, Balance: 1608$, UserID: 23
Account Number: 10024, Balance: 9869$, UserID: 24
Account Number: 10025, Balance: 537$, UserID: 25
Account Number: 10026, Balance: 8712$, UserID: 26
Account Number: 10027, Balance: 2585$, UserID: 27
Account Number: 10028, Balance: 5924$, UserID: 28
Account Number: 10029, Balance: 8764$, UserID: 29
Account Number: 10030, Balance: 4946$, UserID: 30
Account Number: 10031, Balance: 6635$, UserID: 31
Account Number: 10032, Balance: 6836$, UserID: 32
Account Number: 10033, Balance: 4735$, UserID: 33
Account Number: 10034, Balance: 676$, UserID: 34
Account Number: 10035, Balance: 5420$, UserID: 35
Account Number: 10036, Balance: 3615$, UserID: 36
Account Number: 10037, Balance: 8816$, UserID: 37
Account Number: 10038, Balance: 7099$, UserID: 38
Account Number: 10039, Balance: 8789$, UserID: 39
Account Number: 10040, Balance: 3170$, UserID: 40
Account Number: 10041, Balance: 6073$, UserID: 41
Account Number: 10042, Balance: 1090$, UserID: 42
Account Number: 10043, Balance: 548$, UserID: 43
Account Number: 10044, Balance: 1029$, UserID: 44
Account Number: 10045, Balance: 706$, UserID: 45
Account Number: 10046, Balance: 7781$, UserID: 46
Account Number: 10047, Balance: 4153$, UserID: 47
Account Number: 10048, Balance: 9919$, UserID: 48
Account Number: 10049, Balance: 3126$, UserID: 49
Account Number: 10050, Balance: 4653$, UserID: 50
Account Number: 10051, Balance: 75$, UserID: 51
Account Number: 10052, Balance: 7508$, UserID: 52
Account Number: 10053, Balance: 8564$, UserID: 53
Account Number: 10054, Balance: 9346$, UserID: 54
Account Number: 10055, Balance: 6227$, UserID: 55
Account Number: 10056, Balance: 3791$, UserID: 56
Account Number: 10057, Balance: 3391$, UserID: 57
Account Number: 10058, Balance: 3966$, UserID: 58
Account Number: 10059, Balance: 5510$, UserID: 59
Account Number: 10060, Balance: 3835$, UserID: 60
Account Number: 10061, Balance: 9897$, UserID: 61
Account Number: 10062, Balance: 2105$, UserID: 62
Account Number: 10063, Balance: 87$, UserID: 63
Account Number: 10064, Balance: 8288$, UserID: 64
Account Number: 10065, Balance: 3269$, UserID: 65
Account Number: 10066, Balance: 7758$, UserID: 66
Account Number: 10067, Balance: 6363$, UserID: 67
Account Number: 10068, Balance: 6200$, UserID: 68
Account Number: 10069, Balance: 9501$, UserID: 69
Account Number: 10070, Balance: 5372$, UserID: 70
Account Number: 10071, Balance: 9963$, UserID: 71
Account Number: 10072, Balance: 9695$, UserID: 72
Account Number: 10073, Balance: 757$, UserID: 73
Account Number: 10074, Balance: 5212$, UserID: 74
Account Number: 10075, Balance: 5898$, UserID: 75
Account Number: 10076, Balance: 8395$, UserID: 76
Account Number: 10077, Balance: 6119$, UserID: 77
Account Number: 10078, Balance: 6819$, UserID: 78
Account Number: 10079, Balance: 9487$, UserID: 79
Account Number: 10080, Balance: 6091$, UserID: 80
Account Number: 10081, Balance: 1972$, UserID: 81
Account Number: 10082, Balance: 917$, UserID: 82
Account Number: 10083, Balance: 5504$, UserID: 83
Account Number: 10084, Balance: 3791$, UserID: 84
Account Number: 10085, Balance: 4944$, UserID: 85
Account Number: 10086, Balance: 1757$, UserID: 86
Account Number: 10087, Balance: 2609$, UserID: 87
Account Number: 10088, Balance: 5887$, UserID: 88
Account Number: 10089, Balance: 8658$, UserID: 89
Account Number: 10090, Balance: 8488$, UserID: 90
Account Number: 10091, Balance: 7123$, UserID: 91
Account Number: 10092, Balance: 4555$, UserID: 92
Account Number: 10093, Balance: 5860$, UserID: 93
Account Number: 10094, Balance: 5155$, UserID: 94
Account Number: 10095, Balance: 9304$, UserID: 95
Account Number: 10096, Balance: 9457$, UserID: 96
Account Number: 10097, Balance: 6875$, UserID: 97
Account Number: 10098, Balance: 8837$, UserID: 98
Account Number: 10099, Balance: 5860$, UserID: 99
Account Number: 10100, Balance: 9591$, UserID: 100
